old_url,title,slug,legacy_url,seo_title,seo_description,suggested_target_url,content_html
https://legacy.example.com/about/about-company-overview/,Company Overview,about-company-overview,https://legacy.example.com/about/about-company-overview/,Company Overview | Legacy Prototype,Prototype SEO description for Company Overview.,/about,<h2>Company Overview</h2><p>Prototype body content for company overview.</p>
https://legacy.example.com/about/about-leadership/,Leadership,about-leadership,https://legacy.example.com/about/about-leadership/,Leadership | Legacy Prototype,Prototype SEO description for Leadership.,/about,<h2>Leadership</h2><p>Prototype body content for leadership.</p>
https://legacy.example.com/services/service-strategy-workshop/,Strategy Workshop,service-strategy-workshop,https://legacy.example.com/services/service-strategy-workshop/,Strategy Workshop | Legacy Prototype,Prototype SEO description for Strategy Workshop.,/services,<h2>Strategy Workshop</h2><p>Prototype body content for strategy workshop.</p>
https://legacy.example.com/services/service-content-audit/,Content Audit,service-content-audit,https://legacy.example.com/services/service-content-audit/,Content Audit | Legacy Prototype,Prototype SEO description for Content Audit.,/services,<h2>Content Audit</h2><p>Prototype body content for content audit.</p>
https://legacy.example.com/industries/industry-healthcare/,Healthcare,industry-healthcare,https://legacy.example.com/industries/industry-healthcare/,Healthcare | Legacy Prototype,Prototype SEO description for Healthcare.,/industries,<h2>Healthcare</h2><p>Prototype body content for healthcare.</p>
https://legacy.example.com/industries/industry-higher-ed/,Higher Education,industry-higher-ed,https://legacy.example.com/industries/industry-higher-ed/,Higher Education | Legacy Prototype,Prototype SEO description for Higher Education.,/industries,<h2>Higher Education</h2><p>Prototype body content for higher education.</p>
https://legacy.example.com/resources/resource-guide-redirect-strategy/,Guide Redirect Strategy,resource-guide-redirect-strategy,https://legacy.example.com/resources/resource-guide-redirect-strategy/,Guide Redirect Strategy | Legacy Prototype,Prototype SEO description for Guide Redirect Strategy.,/resources,<h2>Guide Redirect Strategy</h2><p>Prototype body content for redirect strategy.</p>
https://legacy.example.com/resources/resource-faq-migration/,FAQ Migration,resource-faq-migration,https://legacy.example.com/resources/resource-faq-migration/,FAQ Migration | Legacy Prototype,,/resources,<h2>FAQ Migration</h2><p>Prototype body content for migration FAQ.</p>
https://legacy.example.com/legal/legal-privacy-policy/,Privacy Policy,legal-privacy-policy,https://legacy.example.com/legal/legal-privacy-policy/,Privacy Policy | Legacy Prototype,Prototype SEO description for Privacy Policy.,/legal,<h2>Privacy Policy</h2><p>Prototype body content for privacy policy.</p>
https://legacy.example.com/contact/contact-sales/,Contact Sales,contact-sales,https://legacy.example.com/contact/contact-sales/,Contact Sales | Legacy Prototype,Prototype SEO description for Contact Sales.,/contact,<h2>Contact Sales</h2><p>Prototype body content for contact sales.</p>
