old_url,title,slug,seo_title,seo_description,suggested_target_url,map_notes
https://legacy.example.com/about/company/,Company,company,Company | Legacy Prototype,Prototype SEO description for Company.,/about,Prototype consolidation rule by section
https://legacy.example.com/about/about-company-overview/,Company Overview,about-company-overview,Company Overview | Legacy Prototype,Prototype SEO description for Company Overview.,/about,Prototype consolidation rule by section
https://legacy.example.com/about/about-leadership/,Leadership,about-leadership,Leadership | Legacy Prototype,Prototype SEO description for Leadership.,/about,Prototype consolidation rule by section
https://legacy.example.com/about/about-history/,History,about-history,History | Legacy Prototype,Prototype SEO description for History.,/about,Prototype consolidation rule by section
https://legacy.example.com/about/about-values/,Values,about-values,Values | Legacy Prototype,Prototype SEO description for Values.,/about,Prototype consolidation rule by section
https://legacy.example.com/about/about-awards/,Awards,about-awards,Awards | Legacy Prototype,Prototype SEO description for Awards.,/about,Prototype consolidation rule by section
https://legacy.example.com/about/about-careers/,Careers,about-careers,Careers | Legacy Prototype,Prototype SEO description for Careers.,/about,Prototype consolidation rule by section
https://legacy.example.com/about/about-newsroom/,Newsroom,about-newsroom,Newsroom | Legacy Prototype,Prototype SEO description for Newsroom.,/about,Prototype consolidation rule by section
https://legacy.example.com/services/service-strategy-workshop/,Strategy Workshop,service-strategy-workshop,Strategy Workshop | Legacy Prototype,Prototype SEO description for Strategy Workshop.,/services,Prototype consolidation rule by section
https://legacy.example.com/services/service-content-audit/,Content Audit,service-content-audit,Content Audit | Legacy Prototype,Prototype SEO description for Content Audit.,/services,Prototype consolidation rule by section
https://legacy.example.com/services/service-information-architecture/,Information Architecture,service-information-architecture,Information Architecture | Legacy Prototype,Prototype SEO description for Information Architecture.,/services,Prototype consolidation rule by section
https://legacy.example.com/services/service-ux-writing/,UX Writing,service-ux-writing,UX Writing | Legacy Prototype,Prototype SEO description for UX Writing.,/services,Prototype consolidation rule by section
https://legacy.example.com/services/service-seo-remediation/,SEO Remediation,service-seo-remediation,SEO Remediation | Legacy Prototype,Prototype SEO description for SEO Remediation.,/services,Prototype consolidation rule by section
https://legacy.example.com/services/service-analytics-implementation/,Analytics Implementation,service-analytics-implementation,Analytics Implementation | Legacy Prototype,Prototype SEO description for Analytics Implementation.,/services,Prototype consolidation rule by section
https://legacy.example.com/services/service-accessibility-audit/,Accessibility Audit,service-accessibility-audit,Accessibility Audit | Legacy Prototype,Prototype SEO description for Accessibility Audit.,/services,Prototype consolidation rule by section
https://legacy.example.com/services/service-drupal-build/,Drupal Build,service-drupal-build,Drupal Build | Legacy Prototype,Prototype SEO description for Drupal Build.,/services,Prototype consolidation rule by section
https://legacy.example.com/services/service-wordpress-decommission/,WordPress Decommission,service-wordpress-decommission,WordPress Decommission | Legacy Prototype,Prototype SEO description for WordPress Decommission.,/services,Prototype consolidation rule by section
