workbook_row,workbook_title,workbook_section,source_url,status_code,final_url,page_title,h1,meta_description,canonical_url,wordpress_api_url,modified_time,main_text_characters,heading_count,link_count,image_count,testimonial_count,form_count,content_excerpt,suggested_drupal_page,suggested_drupal_url,suggested_page_type,match_score,error
2,About IVMF,About,https://ivmf.syracuse.edu/about-ivmf/,200,https://ivmf.syracuse.edu/about-ivmf/,About IVMF - D'Aniello Institute for Veterans and Military Families,About IVMF,"The IVMF at Syracuse University is higher education’s first interdisciplinary academic institute, singularly focused on advancing the post-service lives of the nation’s military veterans and their families to serve those who have served.",https://ivmf.syracuse.edu/about-ivmf/,https://ivmf.syracuse.edu/wp-json/wp/v2/pages/244,2025-10-06T13:36:24+00:00,2530,7,5,6,1,0,"Our Mission To empower service members, veterans, and their families through actionable research, innovative programs, and insightful analytics. Syracuse University has a historic commitment to serving veterans and their families and the founding of the D’Aniello Institute for Veterans and Military Families in 2011 further expands that commitment to serve across the country and beyond. Supported by a world-class advisory board and public and private partners, our professional staff delivers unique and innovative programs in career, vocations, and entrepreneurship education and training to transitioning service members, veterans and military spouses. The IVMF also provides actionable and nationally impacting research, policy analysis and program evaluation; and works with communities and non-profits across the nation to enhance service delivery for the 19 million veterans throughout the United States and their families. 10 Years of Impact Our New Home The IVMF is proud to be a flagship ",About Us,https://ivmf.syracuse.edu/about/about-us/,Landing,0.667,
3,Team,About,https://ivmf.syracuse.edu/about-ivmf/team/,200,https://ivmf.syracuse.edu/about-ivmf/team/,Team - D'Aniello Institute for Veterans and Military Families,Team,,https://ivmf.syracuse.edu/about-ivmf/team/,https://ivmf.syracuse.edu/wp-json/wp/v2/pages/259,2026-06-16T19:19:18+00:00,15166,122,239,2,0,0,"D’Aniello Institute for Veterans and Military Families is committed to advancing the post-service lives of America’s service members, veterans and their families. Supported by a world class advisory board and public and private partners, our professional staff delivers unique and innovative programs in career, vocations, and entrepreneurship education and training to post 9/11 veterans and active duty military spouses, as well as tailored programs to veterans of all eras. The IVMF also provides actionable and national impacting research, policy analysis and program evaluation; and works with communities and non-profits across the nation to enhance service delivery for the 22.5 million veterans throughout the United States and their families. J. Michael Haynie, Ph.D. Dr. Mike Haynie is the current Chancellor and President of Syracuse University, Vice Chancellor for Strategic Initiatives & Innovation at Syracuse University, and also the Barnes Professor of Entrepreneurship. Currently, Ha",Meet the Team,https://ivmf.syracuse.edu/about/meet-the-team/,Standard,0.471,
4,History,About,https://ivmf.syracuse.edu/about-ivmf/history-timeline/,200,https://ivmf.syracuse.edu/about-ivmf/history-timeline/,History - D'Aniello Institute for Veterans and Military Families,History,,https://ivmf.syracuse.edu/about-ivmf/history-timeline/,https://ivmf.syracuse.edu/wp-json/wp/v2/pages/258,2025-04-11T15:15:10+00:00,10129,29,3,28,0,0,"Timeline 1918 & 1919 - Legacy of Military Support The University’s commitment to veterans and military students goes back at least as far as World War I, when the Students Army Training Corps (SATC) was established. In 1918, the SATC dominated much of life on campus. In 1919, it became the Reserve Officers Training Corps (ROTC). 1944 - Uniform Admissions Program Post-World War II, Chancellor William Pearson Tolley recognizes the role that higher education can play in advancing our nation’s returning veterans. He announces the University’s “uniform admissions program,” which ensures all military personnel admission to Syracuse upon return from war. 1946 - 9,464 Veteran Students Admitted Syracuse University admits 9,464 veterans, almost doubling the student body overnight. Nine-hundred Quonset huts, barracks and trailers from the War Department spring up across campus. 1947 - Leading Flexible Education Syracuse University ranks first in New York State and 17th in the nation in veteran en",Strive,https://ivmf.syracuse.edu/programs/entrepreneurship/ideation/strive/,Program,0.462,
5,BL History,About,https://ivmf.syracuse.edu/bunker-labs-a-legacy-of-impact/,200,https://ivmf.syracuse.edu/bunker-labs-a-legacy-of-impact/,Bunker Labs: A Legacy of Impact - D'Aniello Institute for Veterans and Military Families,Bunker Labs: A Legacy of Impact,,https://ivmf.syracuse.edu/bunker-labs-a-legacy-of-impact/,https://ivmf.syracuse.edu/wp-json/wp/v2/pages/95482,2025-03-07T18:21:50+00:00,6254,11,0,8,0,0,"Introduction In 2014, Todd Connor noticed the dramatic decline in veteran entrepreneurship since the postwar era, and decided to do something about it. Veterans struggled to break into the critical professional networks and access necessary capital to launch and grow their businesses. He founded Bunker Labs, and rallied not just dedicated staffers, but inspired participants to meet that challenge head on. Bunker Labs was the creation of a new community—regional groups of veteran and military spouse entrepreneurs eager to support and learn from each other. This spirit of community persevered through the Covid-19 pandemic and a shift to stronger national, virtual programming under new CEO Blake Hogan. Bunker Labs then launched ambitious, meaningful programs like Veterans in Residence, Breaking Barriers in Entrepreneurship, CEOcircle, and the Ambassador Program. These programs and networks made a difference for veteran and military spouse entrepreneurs, changing the trajectories of their ",V-Start,https://ivmf.syracuse.edu/research-evaluation-and-cii/dashboards/v-start/,Standard,0.471,
6,Impact,About,https://ivmf.syracuse.edu/about-ivmf/impact/,200,https://ivmf.syracuse.edu/about-ivmf/impact/,Impact - D'Aniello Institute for Veterans and Military Families,Impact,,https://ivmf.syracuse.edu/about-ivmf/impact/,https://ivmf.syracuse.edu/wp-json/wp/v2/pages/73479,2026-06-25T19:29:21+00:00,1569,3,20,4,1,0,"IVMF By The Numbers To date, more than 230,000 transitioning service members, veterans and military family members, were served by IVMF programs. In 2007, when we launched our very first program – before the IVMF was even founded – that number was 17. See The Numbers Annual Reports We are extremely proud of what we have been able to accomplish. Explore the different ways we impact veterans, their families, communities across the country, academic research, and policy. 2025 Annual Report 2024 Annual Report 2023 Annual Report 2022 Annual Report 2021 Annual Report 2020 Annual Report 2019 Annual Report 2018 Annual Report 2017 Annual Report 2016 Annual Report 2015 Annual Report 2014 Annual Report 2013 Annual Report 2012 Annual Report Quarterly Reports Stay up to date on our progress and impact throughout the year. Our quarterly reports offer timely insights into how we’re advancing our mission—serving veterans and military families, strengthening communities, and shaping research and policy",Impact,https://ivmf.syracuse.edu/about/impact/,Standard,1.000,
9,Why SU,About,https://ivmf.syracuse.edu/about-ivmf/connection-with-su/,200,https://ivmf.syracuse.edu/about-ivmf/connection-with-su/,Why Syracuse University - D'Aniello Institute for Veterans and Military Families,Why Syracuse University,,https://ivmf.syracuse.edu/about-ivmf/connection-with-su/,https://ivmf.syracuse.edu/wp-json/wp/v2/pages/260,2023-11-06T19:32:58+00:00,4132,5,5,5,1,0,"One of The Top Military Private Schools Syracuse University ranks among the nation’s top schools for veterans. The support of military-connected scholars is central to the University’s mission, and includes commitments to affordability, academic success, and a comfortable fit within the student body. Learn more about the history and opportunities Syracuse University offers the veteran community . History of Commitment Syracuse University’s commitment to veterans and military students goes back at least as far as World War I, when SU established a Students Army Training Corps (SATC). It continued to maintain close connections with the military during WWII with close to 18,000 faculty, students, and alumni serving in uniform. Afterwards, Unprecedented numbers of veterans used the benefits of the GI Bill of Rights to attend universities following the end of WWII. Chancellor Tolley was instrumental in advocating for and securing these rights through legislation. After the war, Tolley opene",Why SU,https://ivmf.syracuse.edu/about/why-su/,Standard,1.000,
10,Partners & Funders,About,https://ivmf.syracuse.edu/about-ivmf/partners-funders/,200,https://ivmf.syracuse.edu/about-ivmf/partners-funders/,Partners & Funders - D'Aniello Institute for Veterans and Military Families,Partners & Funders,,https://ivmf.syracuse.edu/about-ivmf/partners-funders/,https://ivmf.syracuse.edu/wp-json/wp/v2/pages/261,2025-12-08T14:48:45+00:00,8000,12,8,8,0,0,"The IVMF works with a number of entities to ensure that the quality of programming provided to our nation’s veterans and their families is second to none. From individuals to corporations, and foundations to government, we cannot begin to express how crucial our partner’s financial support is to our mission, and to the thousands of veterans, service members and families impacted each year. For that reason, we invite you to learn about the individuals and organizations that continue to make a difference through their generosity. Founding Partner JPMorganChase JPMorgan Chase & Co. and the JPMorgan Chase Foundation co-founded the IVMF at Syracuse University, the first national institute in higher education focused on social, economic, education, and policy issues impacting veterans and their families. JPMorgan Chase & Co. (NYSE: JPM) is a leading global financial services firm with assets of $2.4 trillion and operations worldwide. The Firm is a leader in investment banking, financial serv",Partners and Founders,https://ivmf.syracuse.edu/about/partners-and-founders/,Standard,0.976,
11,Programs,Top Level,https://ivmf.syracuse.edu/programs/,200,https://ivmf.syracuse.edu/programs/,Programs - D'Aniello Institute for Veterans and Military Families,Programs,"IVMF has programs for transitioning veterans looking for career training, inspiring entrepreneurs, helping communities, and furthering education.",https://ivmf.syracuse.edu/programs/,https://ivmf.syracuse.edu/wp-json/wp/v2/pages/245,2023-05-09T00:37:26+00:00,1644,4,6,5,1,0,"The IVMF and its staff of more than 70 professionals deliver class-leading programs in career, vocational and entrepreneurship education and training, providing service members, veterans and their families with the skills needed to be successful in education, work and life. The IVMF also coordinates comprehensive collective impact strategies; and works with communities and nonprofits to enhance service delivery for veterans and their families. Entrepreneurship Arm yourself for entrepreneurship success with the IVMF’s programs. Onward to Opportunity A career skills program that provides civilian career training, professional certifications and employment services support. Community Services Provides veterans, transitioning service members, and their families access to a simple and effective way to access and navigate a range of supportive services in their communities. Syracuse University Syracuse University is designated as one of the top Private School for Veterans and overall in the ",Programs,https://ivmf.syracuse.edu/programs/,Landing,1.000,
12,Our Programs,Top Level,https://ivmf.syracuse.edu/our-programs/,200,https://ivmf.syracuse.edu/our-programs/,Our Programs - D'Aniello Institute for Veterans and Military Families,Our Programs,,https://ivmf.syracuse.edu/our-programs/,https://ivmf.syracuse.edu/wp-json/wp/v2/pages/85880,2026-02-16T16:10:44+00:00,6210,36,30,0,0,0,"Career Training Onward to Opportunity A career skills program that provides civilian career training, professional certifications and employment services. Learn More About O2O Veterans for Public Office Training program for veterans and military-connected considering careers in politics. Learn About VPO Entrepreneurship Veteran EDGE EDGE is a four-day conference dedicated solely to veteran and military spouse business owners and the ecosystem that supports them. Learn More V-WISE A women-focused training program in entrepreneurship and small business management for aspiring women entrepreneurs. Learn More CEOcircle CEOcircle is a monthly peer accountability group for growth-stage companies looking to scale. Learn More EBV A cutting-edge entrepreneurship training program teaching the steps and stages of business creation and business management. Learn More EBV Accelerate Ready to take your business to the next level? EBV Accelerate is a bootcamp-style program focused on growth and tackl",Programs,https://ivmf.syracuse.edu/programs/,Landing,0.800,
13,Entreprenuership,Entreprenuership,https://ivmf.syracuse.edu/programs/entrepreneurship/,200,https://ivmf.syracuse.edu/programs/entrepreneurship/,Entrepreneurship - D'Aniello Institute for Veterans and Military Families,Entrepreneurship,,https://ivmf.syracuse.edu/programs/entrepreneurship/,https://ivmf.syracuse.edu/wp-json/wp/v2/pages/262,2026-07-06T18:14:10+00:00,2266,11,9,9,0,0,"Upcoming Programs and Events! EBV Entrepreneurship Bootcamp for Veterans (EBV) program leverages the skills, resources and infrastructure of higher education to offer cutting-edge training to post 9/11 veterans in business. Applications Open! Programs Year Round Learn More MEF A series of regionally focused entrepreneurship training events designed to connect entrepreneurs with their local business resources and entrepreneurship support partners. Interest Forms Open! Learn More Military Founders Lab 10-week virtual program provides access to business tools, resources, mentorship, and a strong peer network for veteran and military spouse entrepreneurs. Applications Open! Learn More Veteran EDGE Join hundreds of veteran and military spouse business leaders in Dallas for three days of strategy, networking, and partnering to scale your business smarter, stronger, and faster. Interest Form Open! Learn More Getting Started No matter where you are in your entrepreneurship journey, we have the",Entrepreneurship,https://ivmf.syracuse.edu/programs/entrepreneurship/,Landing,0.938,
